Latency	Type	Duration
2622	CB_1	
2747	CB_2	
2873	CB_1	
2998	CB_2	
3123	CB_1	
3248	CB_2	
3373	CB_1	
3498	CB_2	
3623	CB_1	
3748	CB_2	
3873	CB_1	
3998	CB_2	
4123	CB_1	
4248	CB_2	
4374	CB_1	
4499	CB_2	
4624	CB_1	
4749	CB_2	
4874	CB_1	
4999	CB_2	
5124	CB_1	
5249	CB_2	
5374	CB_1	
5499	CB_2	
5624	CB_1	
5750	CB_2	
5875	CB_1	
6000	CB_2	
6125	CB_1	
6255	CB_0	
10132	CB_1	
10257	CB_2	
10382	CB_1	
10507	CB_2	
10632	CB_1	
10757	CB_2	
10882	CB_1	
11007	CB_2	
11132	CB_1	
11257	CB_2	
11382	CB_1	
11508	CB_2	
11633	CB_1	
11758	CB_2	
11883	CB_1	
12008	CB_2	
12133	CB_1	
12258	CB_2	
12383	CB_1	
12508	CB_2	
12633	CB_1	
12758	CB_2	
12883	CB_1	
13009	CB_2	
13134	CB_1	
13259	CB_2	
13384	CB_1	
13509	CB_2	
13634	CB_1	
13764	CB_0	
17641	CB_1	
17766	CB_2	
17891	CB_1	
18016	CB_2	
18141	CB_1	
18266	CB_2	
18391	CB_1	
18517	CB_2	
18642	CB_1	
18767	CB_2	
18892	CB_1	
19017	CB_2	
19142	CB_1	
19267	CB_2	
19392	CB_1	
19517	CB_2	
19642	CB_1	
19767	CB_2	
19893	CB_1	
20017	CB_2	
20143	CB_1	
20268	CB_2	
20393	CB_1	
20518	CB_2	
20643	CB_1	
20768	CB_2	
20893	CB_1	
21018	CB_2	
21143	CB_1	
21273	CB_0	
25149	CB_1	
25274	CB_2	
25400	CB_1	
25525	CB_2	
25650	CB_1	
25775	CB_2	
25900	CB_1	
26025	CB_2	
26150	CB_1	
26275	CB_2	
26400	CB_1	
26525	CB_2	
26651	CB_1	
26776	CB_2	
26901	CB_1	
27026	CB_2	
27151	CB_1	
27276	CB_2	
27401	CB_1	
27526	CB_2	
27651	CB_1	
27776	CB_2	
27901	CB_1	
28026	CB_2	
28152	CB_1	
28277	CB_2	
28402	CB_1	
28527	CB_2	
28652	CB_1	
28782	CB_0	
32659	CB_1	
32784	CB_2	
32909	CB_1	
33034	CB_2	
33159	CB_1	
33284	CB_2	
33409	CB_1	
33534	CB_2	
33660	CB_1	
33785	CB_2	
33910	CB_1	
