latency	type	duration
1214	CH_1	
1714	CH_2	
1715	CH_1	
1840	CH_2	
1965	CH_1	
2090	CH_2	
2215	CH_1	
2715	CH_2	
2840	CH_1	
2965	CH_2	
3090	CH_1	
3216	CH_2	
3341	CH_1	
3591	CH_2	
3716	CH_1	
3841	CH_2	
3966	CH_1	
4091	CH_2	
4216	CH_1	
4466	CH_2	
4591	CH_1	
4717	CH_2	
4842	CH_1	
4967	CH_0	
8723	CH_1	
8974	CH_2	
9099	CH_1	
9224	CH_2	
9349	CH_1	
9599	CH_2	
9724	CH_1	
9849	CH_2	
9974	CH_1	
10099	CH_2	
10224	CH_1	
10475	CH_2	
10600	CH_1	
10725	CH_2	
10850	CH_1	
10975	CH_2	
11100	CH_1	
11225	CH_2	
11350	CH_1	
11601	CH_2	
11725	CH_1	
11851	CH_2	
11976	CH_1	
12101	CH_2	
12226	CH_1	
12476	CH_0	
16232	CH_1	
16357	CH_2	
16482	CH_1	
16732	CH_2	
16857	CH_1	
16982	CH_2	
17107	CH_1	
17232	CH_2	
17357	CH_1	
17608	CH_2	
17733	CH_1	
17858	CH_2	
17983	CH_1	
18108	CH_2	
18233	CH_1	
18483	CH_2	
18608	CH_1	
18733	CH_2	
18858	CH_1	
18984	CH_2	
19109	CH_1	
19234	CH_2	
19359	CH_1	
19609	CH_2	
19734	CH_1	
19859	CH_2	
19984	CH_1	
19992	CH_0	
23741	CH_1	
23866	CH_2	
23991	CH_1	
24116	CH_2	
24241	CH_1	
24491	CH_2	
24616	CH_1	
24739	CH_2	
24864	CH_1	
24989	CH_2	
25114	CH_1	
25364	CH_2	
25489	CH_1	
25615	CH_2	
25740	CH_1	
25865	CH_2	
25990	CH_1	
26490	CH_2	
26615	CH_1	
26740	CH_2	
26865	CH_1	
26991	CH_2	
27116	CH_1	
27366	CH_2	
27491	CH_1	
27497	CH_0	
31248	CH_1	
31623	CH_2	
31748	CH_1	
31873	CH_2	
31998	CH_1	
32124	CH_2	
32249	CH_1	
32499	CH_2	
32624	CH_1	
32749	CH_2	
32874	CH_1	
32999	CH_2	
33124	CH_1	
33375	CH_2	
33499	CH_1	
33625	CH_2	
33750	CH_1	
33875	CH_2	
34000	CH_1	
34250	CH_2	
34375	CH_1	
34500	CH_2	
34625	CH_1	
34750	CH_2	
34875	CH_1	
35001	CH_0	
38757	CH_1	
39008	CH_2	
39133	CH_1	
39381	CH_2	
39506	CH_1	
39631	CH_2	
39756	CH_1	
39881	CH_2	
40006	CH_1	
40131	CH_2	
40256	CH_1	
40507	CH_2	
40632	CH_1	
40757	CH_2	
40882	CH_1	
41007	CH_2	
41132	CH_1	
41382	CH_2	
41507	CH_1	
41633	CH_2	
41758	CH_1	
41883	CH_2	
42008	CH_1	
42258	CH_2	
42383	CH_1	
42508	CH_0	
46265	CH_1	
46515	CH_2	
46640	CH_1	
46765	CH_2	
46890	CH_1	
47015	CH_2	
47140	CH_1	
47391	CH_2	
47516	CH_1	
47641	CH_2	
47766	CH_1	
47891	CH_2	
48016	CH_1	
48266	CH_2	
48391	CH_1	
48516	CH_2	
48641	CH_1	
48767	CH_2	
48892	CH_1	
49142	CH_2	
49267	CH_1	
49392	CH_2	
49517	CH_1	
49642	CH_2	
49767	CH_1	
50018	CH_0	
53774	CH_1	
53899	CH_2	
54024	CH_1	
54275	CH_2	
54399	CH_1	
54525	CH_2	
54650	CH_1	
54775	CH_2	
54900	CH_1	
55025	CH_2	
55150	CH_1	
55400	CH_2	
55525	CH_1	
55650	CH_2	
55775	CH_1	
55901	CH_2	
56026	CH_1	
56276	CH_2	
56401	CH_1	
56526	CH_2	
56651	CH_1	
56776	CH_2	
56901	CH_1	
57151	CH_2	
57276	CH_1	
57401	CH_2	
57527	CH_1	
57531	CH_0	
61283	CH_1	
61408	CH_2	
61533	CH_1	
61658	CH_2	
61783	CH_1	
61909	CH_2	
62034	CH_1	
62284	CH_2	
62409	CH_1	
62534	CH_2	
62659	CH_1	
62784	CH_2	
62909	CH_1	
63159	CH_2	
63284	CH_1	
63410	CH_2	
63535	CH_1	
63660	CH_2	
63785	CH_1	
64035	CH_2	
64160	CH_1	
64285	CH_2	
64410	CH_1	
64535	CH_2	
64660	CH_1	
65035	CH_2	
65036	CH_1	
65040	CH_0	
