latency	type	duration
1856	CH_1	
2106	CH_2	
2231	CH_1	
2356	CH_2	
2481	CH_1	
2606	CH_2	
2731	CH_1	
2982	CH_2	
3107	CH_1	
3232	CH_2	
3357	CH_1	
3482	CH_2	
3607	CH_1	
3857	CH_2	
3982	CH_1	
4108	CH_2	
4233	CH_1	
4358	CH_2	
4483	CH_1	
4983	CH_2	
5108	CH_1	
5233	CH_2	
5358	CH_1	
5609	CH_0	
9366	CH_1	
9491	CH_2	
9616	CH_1	
9866	CH_2	
9991	CH_1	
10116	CH_2	
10241	CH_1	
10366	CH_2	
10491	CH_1	
10742	CH_2	
10867	CH_1	
10992	CH_2	
11117	CH_1	
11242	CH_2	
11367	CH_1	
11868	CH_2	
11993	CH_1	
12118	CH_2	
12243	CH_1	
12368	CH_2	
12493	CH_1	
12743	CH_2	
12867	CH_1	
12992	CH_2	
13117	CH_1	
13122	CH_0	
16874	CH_1	
16999	CH_2	
17124	CH_1	
17250	CH_2	
17375	CH_1	
17625	CH_2	
17750	CH_1	
17875	CH_2	
18000	CH_1	
18125	CH_2	
18250	CH_1	
18375	CH_2	
18500	CH_1	
18751	CH_2	
18876	CH_1	
19001	CH_2	
19126	CH_1	
19251	CH_2	
19376	CH_1	
19626	CH_2	
19751	CH_1	
19876	CH_2	
20001	CH_1	
20127	CH_2	
20252	CH_1	
20502	CH_2	
20627	CH_1	
20633	CH_0	
24384	CH_1	
24759	CH_2	
24884	CH_1	
25009	CH_2	
25134	CH_1	
25259	CH_2	
25384	CH_1	
25885	CH_2	
26010	CH_1	
26135	CH_2	
26260	CH_1	
26385	CH_2	
26510	CH_1	
26761	CH_2	
26885	CH_1	
27011	CH_2	
27136	CH_1	
27261	CH_2	
27386	CH_1	
27636	CH_2	
27761	CH_1	
27886	CH_2	
28011	CH_1	
28136	CH_0	
31892	CH_1	
32142	CH_2	
32267	CH_1	
32392	CH_2	
32518	CH_1	
32768	CH_2	
32893	CH_1	
33018	CH_2	
33143	CH_1	
33268	CH_2	
33393	CH_1	
33643	CH_2	
33768	CH_1	
33894	CH_2	
34019	CH_1	
34144	CH_2	
34269	CH_1	
34519	CH_2	
34644	CH_1	
34769	CH_2	
34894	CH_1	
35019	CH_2	
35144	CH_1	
35395	CH_2	
35520	CH_1	
35645	CH_0	
39401	CH_1	
39652	CH_2	
39777	CH_1	
39902	CH_2	
40027	CH_1	
40152	CH_2	
40277	CH_1	
40402	CH_2	
40527	CH_1	
40777	CH_2	
40902	CH_1	
41028	CH_2	
41153	CH_1	
41278	CH_2	
41403	CH_1	
41653	CH_2	
41778	CH_1	
41903	CH_2	
42028	CH_1	
42153	CH_2	
42278	CH_1	
42529	CH_2	
42654	CH_1	
42779	CH_2	
42904	CH_1	
43158	CH_0	
46910	CH_1	
47035	CH_2	
47160	CH_1	
47285	CH_2	
47410	CH_1	
47661	CH_2	
47785	CH_1	
47911	CH_2	
48036	CH_1	
48161	CH_2	
48286	CH_1	
48536	CH_2	
48661	CH_1	
48786	CH_2	
48911	CH_1	
49036	CH_2	
49161	CH_1	
49412	CH_2	
49537	CH_1	
49662	CH_2	
49787	CH_1	
49912	CH_2	
50037	CH_1	
50538	CH_2	
50663	CH_1	
50668	CH_0	
54419	CH_1	
54544	CH_2	
54668	CH_1	
54793	CH_2	
54918	CH_1	
55043	CH_2	
55168	CH_1	
55669	CH_2	
55793	CH_1	
55919	CH_2	
56044	CH_1	
56169	CH_2	
56294	CH_1	
56544	CH_2	
56669	CH_1	
56794	CH_2	
56919	CH_1	
57294	CH_2	
57295	CH_1	
57420	CH_2	
57545	CH_1	
57670	CH_2	
57795	CH_1	
57920	CH_2	
58045	CH_1	
58175	CH_0	
61927	CH_1	
62177	CH_2	
62302	CH_1	
62552	CH_2	
62677	CH_1	
62802	CH_2	
62927	CH_1	
63053	CH_2	
63178	CH_1	
63428	CH_2	
63553	CH_1	
63678	CH_2	
63803	CH_1	
63928	CH_2	
64053	CH_1	
64304	CH_2	
64429	CH_1	
64554	CH_2	
64679	CH_1	
64804	CH_2	
64929	CH_1	
65179	CH_2	
65304	CH_1	
65429	CH_2	
65554	CH_1	
65679	CH_0	
