latency	type	duration
2622	CH_1	
2747	CH_2	
2873	CH_1	
2998	CH_2	
3123	CH_1	
3248	CH_2	
3373	CH_1	
3498	CH_2	
3623	CH_1	
3748	CH_2	
3873	CH_1	
3998	CH_2	
4123	CH_1	
4248	CH_2	
4374	CH_1	
4499	CH_2	
4624	CH_1	
4749	CH_2	
4874	CH_1	
4999	CH_2	
5124	CH_1	
5249	CH_2	
5374	CH_1	
5499	CH_2	
5624	CH_1	
5750	CH_2	
5875	CH_1	
6000	CH_2	
6125	CH_1	
6255	CH_0	
10132	CH_1	
10257	CH_2	
10382	CH_1	
10507	CH_2	
10632	CH_1	
10757	CH_2	
10882	CH_1	
11007	CH_2	
11132	CH_1	
11257	CH_2	
11382	CH_1	
11508	CH_2	
11633	CH_1	
11758	CH_2	
11883	CH_1	
12008	CH_2	
12133	CH_1	
12258	CH_2	
12383	CH_1	
12508	CH_2	
12633	CH_1	
12758	CH_2	
12883	CH_1	
13009	CH_2	
13134	CH_1	
13259	CH_2	
13384	CH_1	
13509	CH_2	
13634	CH_1	
13764	CH_0	
17641	CH_1	
17766	CH_2	
17891	CH_1	
18016	CH_2	
18141	CH_1	
18266	CH_2	
18391	CH_1	
18517	CH_2	
18642	CH_1	
18767	CH_2	
18892	CH_1	
19017	CH_2	
19142	CH_1	
19267	CH_2	
19392	CH_1	
19517	CH_2	
19642	CH_1	
19767	CH_2	
19893	CH_1	
20017	CH_2	
20143	CH_1	
20268	CH_2	
20393	CH_1	
20518	CH_2	
20643	CH_1	
20768	CH_2	
20893	CH_1	
21018	CH_2	
21143	CH_1	
21273	CH_0	
25149	CH_1	
25274	CH_2	
25400	CH_1	
25525	CH_2	
25650	CH_1	
25775	CH_2	
25900	CH_1	
26025	CH_2	
26150	CH_1	
26275	CH_2	
26400	CH_1	
26525	CH_2	
26651	CH_1	
26776	CH_2	
26901	CH_1	
27026	CH_2	
27151	CH_1	
27276	CH_2	
27401	CH_1	
27526	CH_2	
27651	CH_1	
27776	CH_2	
27901	CH_1	
28026	CH_2	
28152	CH_1	
28277	CH_2	
28402	CH_1	
28527	CH_2	
28652	CH_1	
28782	CH_0	
32659	CH_1	
32784	CH_2	
32909	CH_1	
33034	CH_2	
33159	CH_1	
33284	CH_2	
33409	CH_1	
33534	CH_2	
33660	CH_1	
33785	CH_2	
33910	CH_1	
34035	CH_2	
34160	CH_1	
34285	CH_2	
34410	CH_1	
34535	CH_2	
34660	CH_1	
34785	CH_2	
34910	CH_1	
35035	CH_2	
35161	CH_1	
35286	CH_2	
35411	CH_1	
35536	CH_2	
35661	CH_1	
35786	CH_2	
35911	CH_1	
36036	CH_2	
36161	CH_1	
36291	CH_0	
40168	CH_1	
40292	CH_2	
40418	CH_1	
40543	CH_2	
40668	CH_1	
40793	CH_2	
40918	CH_1	
41043	CH_2	
41168	CH_1	
41292	CH_2	
41417	CH_1	
41542	CH_2	
41667	CH_1	
41793	CH_2	
41918	CH_1	
42043	CH_2	
42168	CH_1	
42293	CH_2	
