latency	type	duration
821	CH_1	
946	CH_2	
1071	CH_1	
1196	CH_2	
1321	CH_1	
1446	CH_2	
1571	CH_1	
1696	CH_2	
1821	CH_1	
1947	CH_2	
2072	CH_1	
2197	CH_2	
2322	CH_1	
2447	CH_2	
2572	CH_1	
2697	CH_2	
2822	CH_1	
2947	CH_2	
3072	CH_1	
3197	CH_2	
3322	CH_1	
3447	CH_2	
3572	CH_1	
3698	CH_2	
3823	CH_1	
3948	CH_2	
4073	CH_1	
4198	CH_2	
4323	CH_1	
4448	CH_0	
8330	CH_1	
8455	CH_2	
8580	CH_1	
8705	CH_2	
8830	CH_1	
8955	CH_2	
9080	CH_1	
9205	CH_2	
9330	CH_1	
9455	CH_2	
9580	CH_1	
9706	CH_2	
9831	CH_1	
9956	CH_2	
10081	CH_1	
10206	CH_2	
10331	CH_1	
10456	CH_2	
10581	CH_1	
10706	CH_2	
10831	CH_1	
10956	CH_2	
11081	CH_1	
11206	CH_2	
11331	CH_1	
11457	CH_2	
11582	CH_1	
11707	CH_2	
11832	CH_1	
11957	CH_0	
15838	CH_1	
15963	CH_2	
16088	CH_1	
16213	CH_2	
16338	CH_1	
16463	CH_2	
16589	CH_1	
16714	CH_2	
16839	CH_1	
16964	CH_2	
17089	CH_1	
17214	CH_2	
17339	CH_1	
17464	CH_2	
17589	CH_1	
17714	CH_2	
17839	CH_1	
17964	CH_2	
18089	CH_1	
18214	CH_2	
18340	CH_1	
18465	CH_2	
18590	CH_1	
18715	CH_2	
18840	CH_1	
18965	CH_2	
19090	CH_1	
19215	CH_2	
19340	CH_1	
19465	CH_0	
23347	CH_1	
23472	CH_2	
23597	CH_1	
23722	CH_2	
23847	CH_1	
23972	CH_2	
24097	CH_1	
24222	CH_2	
24347	CH_1	
24472	CH_2	
24597	CH_1	
24722	CH_2	
24847	CH_1	
24973	CH_2	
25098	CH_1	
25223	CH_2	
25348	CH_1	
25473	CH_2	
25598	CH_1	
25723	CH_2	
25848	CH_1	
25973	CH_2	
26098	CH_1	
26223	CH_2	
26348	CH_1	
26473	CH_2	
26599	CH_1	
26724	CH_2	
26849	CH_1	
26974	CH_0	
30855	CH_1	
30980	CH_2	
31105	CH_1	
31230	CH_2	
31355	CH_1	
31480	CH_2	
31606	CH_1	
31731	CH_2	
31856	CH_1	
31981	CH_2	
32106	CH_1	
32231	CH_2	
32356	CH_1	
32481	CH_2	
32606	CH_1	
32731	CH_2	
32856	CH_1	
32982	CH_2	
33107	CH_1	
33232	CH_2	
33357	CH_1	
33482	CH_2	
33607	CH_1	
33732	CH_2	
33857	CH_1	
33982	CH_2	
34107	CH_1	
34232	CH_2	
34357	CH_1	
34482	CH_0	
38364	CH_1	
38489	CH_2	
38614	CH_1	
38739	CH_2	
38864	CH_1	
38989	CH_2	
39114	CH_1	
39240	CH_2	
39365	CH_1	
39490	CH_2	
39615	CH_1	
39740	CH_2	
39865	CH_1	
39990	CH_2	
40115	CH_1	
40240	CH_2	
40365	CH_1	
40490	CH_2	
40615	CH_1	
40740	CH_2	
40866	CH_1	
40991	CH_2	
41116	CH_1	
41241	CH_2	
41366	CH_1	
41491	CH_2	
41616	CH_1	
41741	CH_2	
41866	CH_1	
41991	CH_0	
45873	CH_1	
45998	CH_2	
46123	CH_1	
46248	CH_2	
46373	CH_1	
46498	CH_2	
46624	CH_1	
46749	CH_2	
46874	CH_1	
46999	CH_2	
47124	CH_1	
47249	CH_2	
47374	CH_1	
47499	CH_2	
47624	CH_1	
47749	CH_2	
47874	CH_1	
47999	CH_2	
48124	CH_1	
48249	CH_2	
48375	CH_1	
48500	CH_2	
48625	CH_1	
48750	CH_2	
48875	CH_1	
49000	CH_2	
49125	CH_1	
49250	CH_2	
49375	CH_1	
49500	CH_0	
53381	CH_1	
53506	CH_2	
53631	CH_1	
53756	CH_2	
53881	CH_1	
54006	CH_2	
54131	CH_1	
54256	CH_2	
54381	CH_1	
54506	CH_2	
54631	CH_1	
54756	CH_2	
54881	CH_1	
55006	CH_2	
55131	CH_1	
55256	CH_2	
55382	CH_1	
55507	CH_2	
55632	CH_1	
55757	CH_2	
55882	CH_1	
56007	CH_2	
56132	CH_1	
56257	CH_2	
56382	CH_1	
56507	CH_2	
56632	CH_1	
56757	CH_2	
56882	CH_1	
57007	CH_0	
60889	CH_1	
61014	CH_2	
61139	CH_1	
61264	CH_2	
61389	CH_1	
61514	CH_2	
61639	CH_1	
61764	CH_2	
61889	CH_1	
62015	CH_2	
62140	CH_1	
62265	CH_2	
62390	CH_1	
62515	CH_2	
62640	CH_1	
62765	CH_2	
62890	CH_1	
63015	CH_2	
63140	CH_1	
63265	CH_2	
63390	CH_1	
63515	CH_2	
63640	CH_1	
63765	CH_2	
63891	CH_1	
64016	CH_2	
64141	CH_1	
64266	CH_2	
64391	CH_1	
64516	CH_0	
68397	CH_1	
68522	CH_2	
68648	CH_1	
68773	CH_2	
68898	CH_1	
69023	CH_2	
69148	CH_1	
69273	CH_2	
69398	CH_1	
69523	CH_2	
69648	CH_1	
69773	CH_2	
69898	CH_1	
70023	CH_2	
70148	CH_1	
70273	CH_2	
70399	CH_1	
70524	CH_2	
70649	CH_1	
70774	CH_2	
70899	CH_1	
71024	CH_2	
71149	CH_1	
71274	CH_2	
71399	CH_1	
71524	CH_2	
71649	CH_1	
71774	CH_2	
71900	CH_1	
72025	CH_0	
75906	CH_1	
76031	CH_2	
76156	CH_1	
76281	CH_2	
76406	CH_1	
76531	CH_2	
76657	CH_1	
76782	CH_2	
76907	CH_1	
77032	CH_2	
77157	CH_1	
77282	CH_2	
77407	CH_1	
77532	CH_2	
77657	CH_1	
77782	CH_2	
77907	CH_1	
78032	CH_2	
78157	CH_1	
78282	CH_2	
78408	CH_1	
78533	CH_2	
78658	CH_1	
78783	CH_2	
78908	CH_1	
79033	CH_2	
79158	CH_1	
79283	CH_2	
79408	CH_1	
79533	CH_0	
