latency	type	duration
3771	CH_1	
3896	CH_2	
4021	CH_1	
4146	CH_2	
4271	CH_1	
4396	CH_2	
4522	CH_1	
4647	CH_2	
4772	CH_1	
4897	CH_2	
5022	CH_1	
5147	CH_2	
5272	CH_1	
5397	CH_2	
5522	CH_1	
5647	CH_2	
5772	CH_1	
5897	CH_2	
6023	CH_1	
6148	CH_2	
6273	CH_1	
6398	CH_2	
6523	CH_1	
6648	CH_2	
6773	CH_1	
6898	CH_2	
7023	CH_1	
7148	CH_2	
7273	CH_1	
7403	CH_0	
11280	CH_1	
11405	CH_2	
11530	CH_1	
11655	CH_2	
11780	CH_1	
11905	CH_2	
12030	CH_1	
12155	CH_2	
12281	CH_1	
12406	CH_2	
12531	CH_1	
12656	CH_2	
12781	CH_1	
12906	CH_2	
13031	CH_1	
13156	CH_2	
13281	CH_1	
13406	CH_2	
13531	CH_1	
13656	CH_2	
13781	CH_1	
13907	CH_2	
14032	CH_1	
14157	CH_2	
14282	CH_1	
14407	CH_2	
14532	CH_1	
14657	CH_2	
14782	CH_1	
14912	CH_0	
18788	CH_1	
18914	CH_2	
19039	CH_1	
19164	CH_2	
19289	CH_1	
19414	CH_2	
19539	CH_1	
19664	CH_2	
19789	CH_1	
19914	CH_2	
20039	CH_1	
20164	CH_2	
20289	CH_1	
20414	CH_2	
20539	CH_1	
20665	CH_2	
20790	CH_1	
20915	CH_2	
21040	CH_1	
21165	CH_2	
21290	CH_1	
21415	CH_2	
21540	CH_1	
21665	CH_2	
21790	CH_1	
21915	CH_2	
22040	CH_1	
22166	CH_2	
22291	CH_1	
22416	CH_0	
26297	CH_1	
26422	CH_2	
26547	CH_1	
26672	CH_2	
26797	CH_1	
26923	CH_2	
27048	CH_1	
27173	CH_2	
27298	CH_1	
27423	CH_2	
27548	CH_1	
27673	CH_2	
27798	CH_1	
27923	CH_2	
28048	CH_1	
28173	CH_2	
28298	CH_1	
28423	CH_2	
28549	CH_1	
28674	CH_2	
28799	CH_1	
28924	CH_2	
29049	CH_1	
29174	CH_2	
29299	CH_1	
29424	CH_2	
29549	CH_1	
29674	CH_2	
29799	CH_1	
29924	CH_0	
33806	CH_1	
33931	CH_2	
34056	CH_1	
34180	CH_2	
34305	CH_1	
34430	CH_2	
34555	CH_1	
34680	CH_2	
34805	CH_1	
34931	CH_2	
35056	CH_1	
35181	CH_2	
35306	CH_1	
35431	CH_2	
35556	CH_1	
35681	CH_2	
35806	CH_1	
35931	CH_2	
36056	CH_1	
36181	CH_2	
36306	CH_1	
36432	CH_2	
36557	CH_1	
36682	CH_2	
36807	CH_1	
36932	CH_2	
37057	CH_1	
37182	CH_2	
37307	CH_1	
37437	CH_0	
41314	CH_1	
41439	CH_2	
41564	CH_1	
41689	CH_2	
41814	CH_1	
41939	CH_2	
42064	CH_1	
42189	CH_2	
42314	CH_1	
42439	CH_2	
42564	CH_1	
42689	CH_2	
42814	CH_1	
42939	CH_2	
43065	CH_1	
43190	CH_2	
43315	CH_1	
43440	CH_2	
43565	CH_1	
43690	CH_2	
43815	CH_1	
43940	CH_2	
44065	CH_1	
44190	CH_2	
44315	CH_1	
44440	CH_2	
44565	CH_1	
44691	CH_2	
44816	CH_1	
44946	CH_0	
48822	CH_1	
48947	CH_2	
49072	CH_1	
49197	CH_2	
49322	CH_1	
49447	CH_2	
49572	CH_1	
49697	CH_2	
49823	CH_1	
49948	CH_2	
50073	CH_1	
50198	CH_2	
50323	CH_1	
50448	CH_2	
50573	CH_1	
50698	CH_2	
50823	CH_1	
50948	CH_2	
51073	CH_1	
51198	CH_2	
51323	CH_1	
51448	CH_2	
51574	CH_1	
51699	CH_2	
51824	CH_1	
51949	CH_2	
52074	CH_1	
52199	CH_2	
52324	CH_1	
52454	CH_0	
56330	CH_1	
56456	CH_2	
56581	CH_1	
56706	CH_2	
56831	CH_1	
56956	CH_2	
57081	CH_1	
57206	CH_2	
57331	CH_1	
57456	CH_2	
57581	CH_1	
57706	CH_2	
57831	CH_1	
57956	CH_2	
58082	CH_1	
58207	CH_2	
58332	CH_1	
58457	CH_2	
58582	CH_1	
58707	CH_2	
58832	CH_1	
58957	CH_2	
59082	CH_1	
59207	CH_2	
59332	CH_1	
59457	CH_2	
59582	CH_1	
59708	CH_2	
59833	CH_1	
59958	CH_0	
63838	CH_1	
63963	CH_2	
64088	CH_1	
64213	CH_2	
64338	CH_1	
64463	CH_2	
64588	CH_1	
64714	CH_2	
64839	CH_1	
64964	CH_2	
65089	CH_1	
65214	CH_2	
65339	CH_1	
65464	CH_2	
65589	CH_1	
65714	CH_2	
65839	CH_1	
65964	CH_2	
66089	CH_1	
66214	CH_2	
66339	CH_1	
66465	CH_2	
66590	CH_1	
66715	CH_2	
66839	CH_1	
66964	CH_2	
67089	CH_1	
67214	CH_2	
67339	CH_1	
67464	CH_0	
