latency	type	duration
630	CH_1	
755	CH_2	
880	CH_1	
1005	CH_2	
1130	CH_1	
1255	CH_2	
1380	CH_1	
1505	CH_2	
1630	CH_1	
1755	CH_2	
1881	CH_1	
2005	CH_2	
2131	CH_1	
2256	CH_2	
2381	CH_1	
2506	CH_2	
2631	CH_1	
2756	CH_2	
2881	CH_1	
3006	CH_2	
3131	CH_1	
3256	CH_2	
3381	CH_1	
3507	CH_2	
3632	CH_1	
3757	CH_2	
3882	CH_1	
4007	CH_2	
4132	CH_1	
4257	CH_0	
8138	CH_1	
8263	CH_2	
8388	CH_1	
8513	CH_2	
8638	CH_1	
8763	CH_2	
8888	CH_1	
9013	CH_2	
9138	CH_1	
9263	CH_2	
9388	CH_1	
9513	CH_2	
9638	CH_1	
9764	CH_2	
9889	CH_1	
10014	CH_2	
10139	CH_1	
10264	CH_2	
10389	CH_1	
10514	CH_2	
10639	CH_1	
10764	CH_2	
10889	CH_1	
11014	CH_2	
11139	CH_1	
11264	CH_2	
11390	CH_1	
11515	CH_2	
11640	CH_1	
11765	CH_0	
15646	CH_1	
15771	CH_2	
15896	CH_1	
16022	CH_2	
16147	CH_1	
16272	CH_2	
16397	CH_1	
16522	CH_2	
16647	CH_1	
16772	CH_2	
16897	CH_1	
17022	CH_2	
17147	CH_1	
17272	CH_2	
17398	CH_1	
17523	CH_2	
17648	CH_1	
17773	CH_2	
17898	CH_1	
18023	CH_2	
18148	CH_1	
18273	CH_2	
18398	CH_1	
18523	CH_2	
18648	CH_1	
18773	CH_2	
18898	CH_1	
19024	CH_2	
19149	CH_1	
19274	CH_0	
23154	CH_1	
23279	CH_2	
23404	CH_1	
23530	CH_2	
23655	CH_1	
23780	CH_2	
23905	CH_1	
24030	CH_2	
24155	CH_1	
24280	CH_2	
24405	CH_1	
24530	CH_2	
24655	CH_1	
24780	CH_2	
24905	CH_1	
25030	CH_2	
25155	CH_1	
25281	CH_2	
25406	CH_1	
25531	CH_2	
25656	CH_1	
25781	CH_2	
25906	CH_1	
26031	CH_2	
26156	CH_1	
26281	CH_2	
26406	CH_1	
26531	CH_2	
26656	CH_1	
26782	CH_0	
30663	CH_1	
30788	CH_2	
30913	CH_1	
31039	CH_2	
31164	CH_1	
31289	CH_2	
31414	CH_1	
31539	CH_2	
31664	CH_1	
31789	CH_2	
31914	CH_1	
32039	CH_2	
32164	CH_1	
32289	CH_2	
32414	CH_1	
32539	CH_2	
32664	CH_1	
32790	CH_2	
32915	CH_1	
33040	CH_2	
33165	CH_1	
33289	CH_2	
33414	CH_1	
33539	CH_2	
33664	CH_1	
33789	CH_2	
33914	CH_1	
34039	CH_2	
34164	CH_1	
34290	CH_0	
38171	CH_1	
38296	CH_2	
38421	CH_1	
38546	CH_2	
38671	CH_1	
38796	CH_2	
38921	CH_1	
39046	CH_2	
39172	CH_1	
39297	CH_2	
39422	CH_1	
39547	CH_2	
39672	CH_1	
39797	CH_2	
39922	CH_1	
40047	CH_2	
40172	CH_1	
40297	CH_2	
40422	CH_1	
40547	CH_2	
40672	CH_1	
40798	CH_2	
40923	CH_1	
41048	CH_2	
41173	CH_1	
41298	CH_2	
41423	CH_1	
41548	CH_2	
41673	CH_1	
41798	CH_0	
45679	CH_1	
45805	CH_2	
45930	CH_1	
46055	CH_2	
46180	CH_1	
46305	CH_2	
46430	CH_1	
46555	CH_2	
46680	CH_1	
46805	CH_2	
46930	CH_1	
47055	CH_2	
47180	CH_1	
47305	CH_2	
47430	CH_1	
47556	CH_2	
47681	CH_1	
47806	CH_2	
47931	CH_1	
48056	CH_2	
48181	CH_1	
48306	CH_2	
48431	CH_1	
48556	CH_2	
48681	CH_1	
48806	CH_2	
48931	CH_1	
49056	CH_2	
49181	CH_1	
49307	CH_0	
53188	CH_1	
53313	CH_2	
53438	CH_1	
53563	CH_2	
53688	CH_1	
53813	CH_2	
53938	CH_1	
54063	CH_2	
54188	CH_1	
54313	CH_2	
54439	CH_1	
54564	CH_2	
54689	CH_1	
54814	CH_2	
54939	CH_1	
55064	CH_2	
55189	CH_1	
55314	CH_2	
55439	CH_1	
55564	CH_2	
55689	CH_1	
55814	CH_2	
55939	CH_1	
56064	CH_2	
56190	CH_1	
56314	CH_2	
56440	CH_1	
56565	CH_2	
56689	CH_1	
56814	CH_0	
60694	CH_1	
60819	CH_2	
60944	CH_1	
61070	CH_2	
61195	CH_1	
61320	CH_2	
61445	CH_1	
61570	CH_2	
61695	CH_1	
61820	CH_2	
61945	CH_1	
62070	CH_2	
62195	CH_1	
62320	CH_2	
62445	CH_1	
62571	CH_2	
62696	CH_1	
62821	CH_2	
62946	CH_1	
63071	CH_2	
63196	CH_1	
63321	CH_2	
63446	CH_1	
63571	CH_2	
63696	CH_1	
63821	CH_2	
63946	CH_1	
64071	CH_2	
64197	CH_1	
64322	CH_0	
68203	CH_1	
68328	CH_2	
68453	CH_1	
68578	CH_2	
68703	CH_1	
68828	CH_2	
68953	CH_1	
69078	CH_2	
69204	CH_1	
69329	CH_2	
69454	CH_1	
69579	CH_2	
69704	CH_1	
69829	CH_2	
69954	CH_1	
70079	CH_2	
70204	CH_1	
70329	CH_2	
70454	CH_1	
70579	CH_2	
70704	CH_1	
70829	CH_2	
70954	CH_1	
71079	CH_2	
71205	CH_1	
71330	CH_2	
71455	CH_1	
71580	CH_2	
71705	CH_1	
71830	CH_0	
75711	CH_1	
75836	CH_2	
75961	CH_1	
76086	CH_2	
76212	CH_1	
76337	CH_2	
76462	CH_1	
76587	CH_2	
76712	CH_1	
76837	CH_2	
76962	CH_1	
77087	CH_2	
77212	CH_1	
77337	CH_2	
77462	CH_1	
77587	CH_2	
77712	CH_1	
77837	CH_2	
77963	CH_1	
78088	CH_2	
78213	CH_1	
78338	CH_2	
78463	CH_1	
78588	CH_2	
78713	CH_1	
78838	CH_2	
78962	CH_1	
79087	CH_2	
79212	CH_1	
79337	CH_0	
83219	CH_1	
83344	CH_2	
83469	CH_1	
83594	CH_2	
83719	CH_1	
83844	CH_2	
83969	CH_1	
84094	CH_2	
84219	CH_1	
84345	CH_2	
84470	CH_1	
84595	CH_2	
84720	CH_1	
84845	CH_2	
84970	CH_1	
85095	CH_2	
85220	CH_1	
85345	CH_2	
85470	CH_1	
85595	CH_2	
85720	CH_1	
85845	CH_2	
85970	CH_1	
86095	CH_2	
86221	CH_1	
86346	CH_2	
86471	CH_1	
86596	CH_2	
86721	CH_1	
86846	CH_0	
90726	CH_1	
90851	CH_2	
90976	CH_1	
91101	CH_2	
91226	CH_1	
91351	CH_2	
91476	CH_1	
91601	CH_2	
91726	CH_1	
91851	CH_2	
91977	CH_1	
92102	CH_2	
92227	CH_1	
92352	CH_2	
92477	CH_1	
92602	CH_2	
92727	CH_1	
92852	CH_2	
92977	CH_1	
93102	CH_2	
93227	CH_1	
93352	CH_2	
93477	CH_1	
93602	CH_2	
93728	CH_1	
93853	CH_2	
93978	CH_1	
94103	CH_2	
94228	CH_1	
94353	CH_0	
98234	CH_1	
98359	CH_2	
98484	CH_1	
98609	CH_2	
98735	CH_1	
98860	CH_2	
98985	CH_1	
99110	CH_2	
99235	CH_1	
99360	CH_2	
99485	CH_1	
99610	CH_2	
99735	CH_1	
99860	CH_2	
99985	CH_1	
100110	CH_2	
100235	CH_1	
100361	CH_2	
100486	CH_1	
100611	CH_2	
100736	CH_1	
100861	CH_2	
100986	CH_1	
101111	CH_2	
101236	CH_1	
101361	CH_2	
101486	CH_1	
101611	CH_2	
101736	CH_1	
101862	CH_0	
105743	CH_1	
105868	CH_2	
105993	CH_1	
106118	CH_2	
106243	CH_1	
106368	CH_2	
106493	CH_1	
106618	CH_2	
106744	CH_1	
106869	CH_2	
106994	CH_1	
107119	CH_2	
107244	CH_1	
107369	CH_2	
107494	CH_1	
107619	CH_2	
107744	CH_1	
107869	CH_2	
107994	CH_1	
108119	CH_2	
108244	CH_1	
108369	CH_2	
108495	CH_1	
108620	CH_2	
108745	CH_1	
108870	CH_2	
108995	CH_1	
109120	CH_2	
109245	CH_1	
109370	CH_0	
