latency	type	duration
3825	CH_1	
3950	CH_2	
4075	CH_1	
4200	CH_2	
4325	CH_1	
4450	CH_2	
4575	CH_1	
4700	CH_2	
4825	CH_1	
4950	CH_2	
5075	CH_1	
5200	CH_2	
5325	CH_1	
5451	CH_2	
5576	CH_1	
5701	CH_2	
5826	CH_1	
5951	CH_2	
6076	CH_1	
6201	CH_2	
6326	CH_1	
6451	CH_2	
6576	CH_1	
6701	CH_2	
6826	CH_1	
6952	CH_2	
7077	CH_1	
7202	CH_2	
7327	CH_1	
7452	CH_2	
11333	CH_0	
11458	CH_2	
11583	CH_1	
11709	CH_2	
11834	CH_1	
11959	CH_2	
12084	CH_1	
12209	CH_2	
12334	CH_1	
12459	CH_2	
12584	CH_1	
12709	CH_2	
12834	CH_1	
12959	CH_2	
13084	CH_1	
13209	CH_2	
13335	CH_1	
13460	CH_2	
13585	CH_1	
13710	CH_2	
13835	CH_1	
13960	CH_2	
14085	CH_1	
14210	CH_2	
14335	CH_1	
14460	CH_2	
14585	CH_1	
14710	CH_2	
14835	CH_1	
14961	CH_0	
18841	CH_1	
18966	CH_2	
19091	CH_1	
19216	CH_2	
19341	CH_1	
19466	CH_2	
19591	CH_1	
19716	CH_2	
19842	CH_1	
19967	CH_2	
20092	CH_1	
20217	CH_2	
20342	CH_1	
20467	CH_2	
20592	CH_1	
20717	CH_2	
20842	CH_1	
20967	CH_2	
21092	CH_1	
21217	CH_2	
21342	CH_1	
21468	CH_2	
21593	CH_1	
21718	CH_2	
21843	CH_1	
21968	CH_2	
22093	CH_1	
22218	CH_2	
22343	CH_1	
22473	CH_0	
26350	CH_1	
26475	CH_2	
26600	CH_1	
26725	CH_2	
26850	CH_1	
26975	CH_2	
27100	CH_1	
27225	CH_2	
27350	CH_1	
27475	CH_2	
27600	CH_1	
27725	CH_2	
27849	CH_1	
27974	CH_2	
28099	CH_1	
28224	CH_2	
28350	CH_1	
28475	CH_2	
28600	CH_1	
28725	CH_2	
28850	CH_1	
28975	CH_2	
29100	CH_1	
29225	CH_2	
29350	CH_1	
29475	CH_2	
29600	CH_1	
29725	CH_2	
29850	CH_1	
29981	CH_0	
33857	CH_1	
33982	CH_2	
34107	CH_1	
34232	CH_2	
34357	CH_1	
34482	CH_2	
34608	CH_1	
34733	CH_2	
34858	CH_1	
34983	CH_2	
35108	CH_1	
35233	CH_2	
35358	CH_1	
35483	CH_2	
35608	CH_1	
35733	CH_2	
35858	CH_1	
35983	CH_2	
36108	CH_1	
36233	CH_2	
36359	CH_1	
36484	CH_2	
36609	CH_1	
36734	CH_2	
36859	CH_1	
36984	CH_2	
