Latency	Type 	Duration
2894	CB_1	
3019	CB_2	
3144	CB_1	
3269	CB_2	
3394	CB_1	
3519	CB_2	
3644	CB_1	
3770	CB_2	
3895	CB_1	
4020	CB_2	
4145	CB_1	
4270	CB_2	
4395	CB_1	
4520	CB_2	
4645	CB_1	
4770	CB_2	
4895	CB_1	
5020	CB_2	
5145	CB_1	
5270	CB_2	
5396	CB_1	
5521	CB_2	
5646	CB_1	
5771	CB_2	
5896	CB_1	
6021	CB_2	
6146	CB_0	
10026	CB_1	
10151	CB_2	
10277	CB_1	
10402	CB_2	
10527	CB_1	
10652	CB_2	
10777	CB_1	
10902	CB_2	
11027	CB_1	
11152	CB_2	
11277	CB_1	
11402	CB_2	
11527	CB_1	
11652	CB_2	
11777	CB_1	
11903	CB_2	
12028	CB_1	
12153	CB_2	
12278	CB_1	
12403	CB_2	
12528	CB_1	
12653	CB_2	
12778	CB_1	
12903	CB_2	
13028	CB_1	
13153	CB_2	
13278	CB_1	
13403	CB_2	
13528	CB_1	
13659	CB_0	
